age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
58,Female,Married,Professional,81300,Private,8,Mid-size,Own,0,3,0,0,7400,20400,7100,No,0,655,400000,196300,Home Appliances,61000,17,Eligible,23200
27,Male,Single,Graduate,30400,Private,0,Startup,Rented,6100,1,0,0,2200,5800,5600,Yes,9000,576,135500,52400,Education,175000,36,Not_Eligible,500
32,Male,Married,Graduate,73900,Private,3,Mid-size,Own,0,2,0,0,3800,18400,13200,Yes,15200,629,265500,57600,E-commerce Shopping,153000,14,Not_Eligible,6524
38,Male,Married,Professional,54000,Government,0,Mid-size,Own,0,3,0,0,5100,14900,6000,No,0,806,175100,42200,Home Appliances,33000,14,Eligible,16800
38,Male,Married,Post Graduate,57200,Private,7,Large Indian,Own,0,4,8500,15800,4400,10300,6400,No,0,744,161600,57100,E-commerce Shopping,178000,13,Not_Eligible,5900
27,Male,Single,High School,69700,Private,5,Startup,Rented,22500,1,0,0,9700,15300,7900,No,0,666,498700,209500,Home Appliances,70000,19,Eligible,7865
32,Female,Married,Graduate,28800,Private,0,Mid-size,Rented,4400,2,0,0,3900,7300,4500,No,0,667,203000,57600,Personal Loan,185000,38,Not_Eligible,3828
38,Female,Married,Graduate,32900,Private,3,Mid-size,Own,0,4,10800,13000,4700,7400,3800,No,0,645,32200,19100,Vehicle,268000,31,Not_Eligible,500
38,Female,Married,Graduate,60000,Private,16,MNC,Own,0,4,0,0,3900,10100,8800,No,0,999,329200,142500,Vehicle,416000,42,Eligible,18600
58,Male,Married,Graduate,67100,Government,11,Large Indian,Own,0,2,3700,20800,4100,15900,9800,No,0,812,533800,229000,Home Appliances,243000,32,Eligible,9292
48,Male,Single,Graduate,74600,Government,14,Startup,Rented,13100,1,0,0,4400,21900,13000,No,0,702,370500,150800,Home Appliances,170000,31,Eligible,12210
58,Female,Married,Graduate,22000,Private,7,Startup,Rented,7600,3,0,0,2100,3400,2200,No,0,764,31000,16400,Education,392000,9,Not_Eligible,3216
58,Male,Married,Professional,65300,Government,12,Mid-size,Own,0,2,0,0,7600,10400,12700,No,0,850,311800,105300,E-commerce Shopping,167000,15,Eligible,22836
27,Male,Married,Professional,38500,Private,0,Large Indian,Own,0,3,0,7500,2000,9500,5800,No,0,791,122500,52900,Personal Loan,131000,20,Not_Eligible,6576
32,Male,Married,Professional,83300,Private,0,Large Indian,Own,0,4,6800,0,10300,20100,5700,No,0,788,144400,33400,Vehicle,108000,66,Eligible,15513
48,Female,Married,Graduate,113100,Private,19,Startup,Own,0,3,3000,0,7700,25400,10300,No,0,762,275600,146000,Vehicle,734000,65,Eligible,40020
32,Male,Married,Graduate,73800,Private,2,MNC,Own,0,4,11100,0,5600,18500,9000,No,0,728,401800,110800,Education,259000,39,Eligible,14800
32,Female,Married,High School,48600,Government,0,MNC,Own,0,3,0,14800,4000,8700,7000,No,0,850,367800,210000,Personal Loan,695000,50,Not_Eligible,9306
27,Male,Single,Post Graduate,85400,Private,2,Large Indian,Own,0,2,0,0,5300,19400,6200,No,0,651,428000,227000,Education,63000,46,Eligible,27250
48,Male,Married,High School,25200,Government,11,Large Indian,Own,0,4,2400,0,2000,7500,3200,No,0,731,26100,9600,Home Appliances,76000,16,Not_Eligible,4444
38,Female,Married,Graduate,61300,Self-employed,6,Large Indian,Rented,16700,4,0,6400,7200,9500,8800,No,0,653,391000,113400,Home Appliances,93000,35,Eligible,6286
38,Male,Married,Graduate,66900,Private,0,Small,Own,0,4,3600,0,5500,13300,10500,Yes,18800,741,206200,98600,Education,99000,33,Eligible,4256
58,Male,Married,Graduate,57900,Private,8,Mid-size,Own,0,3,0,0,5600,13300,10800,No,0,729,364800,102900,Vehicle,421000,81,Eligible,15510
27,Male,Single,Professional,75300,Private,1,Mid-size,Rented,22300,2,8000,0,9000,13900,7600,Yes,9200,1200,204300,113300,Home Appliances,134000,28,Not_Eligible,1484
27,Female,Single,High School,22100,Private,0,MNC,Rented,12379,2,2900,0,3100,3600,3300,Yes,5700,707,49900,28700,Education,164000,6,Not_Eligible,980
27,Male,Single,Graduate,63400,Self-employed,0,Large Indian,Rented,18300,2,13100,0,6500,18600,12200,No,0,771,35800,8900,Education,358000,46,Not_Eligible,500
38,Male,Married,Graduate,66700,Private,4,MNC,Rented,23100,4,0,0,3500,16200,12100,No,0,635,192200,86000,Home Appliances,264000,24,Not_Eligible,4720
58,Female,Married,Graduate,65700,Self-employed,8,MNC,Own,0,2,0,0,3400,12700,12100,Yes,12300,631,381000,174500,Education,181000,44,Eligible,6350
38,Male,Married,Post Graduate,57700,Private,1,Large Indian,Own,0,3,0,15900,4600,15800,6000,Yes,12600,586,177400,41100,Education,185000,46,Not_Eligible,784
38,Female,Married,Professional,78900,Private,0,MNC,Rented,22500,3,10800,9500,9300,18000,6200,Yes,13100,674,592700,143300,Education,138000,26,Not_Eligible,500
38,Male,Married,High School,68200,Private,7,MNC,Own,0,3,8400,0,7800,15300,9800,No,0,682,470900,208200,Home Appliances,175000,27,Eligible,14795
27,Male,Single,High School,48800,Private,0,Large Indian,Own,0,1,0,0,5900,14000,4300,Yes,12900,688,212400,125100,Personal Loan,742000,27,Not_Eligible,3276
38,Male,Single,Post Graduate,46800,Government,2,MNC,Own,0,3,7600,21900,5200,11700,5600,No,0,713,317200,159600,Personal Loan,69000,55,Not_Eligible,500
48,Male,Married,High School,74600,Self-employed,5,MNC,Own,0,2,0,0,10000,22000,11100,No,0,709,171700,69000,Personal Loan,206000,19,Eligible,14175
38,Male,Married,Graduate,58500,Self-employed,2,MNC,Own,0,2,6100,0,3800,16800,8800,No,0,716,336500,127400,Education,203000,20,Not_Eligible,10350
38,Male,Married,Graduate,29400,Government,16,Large Indian,Own,0,5,9900,0,3100,7300,3100,No,0,754,184100,74700,Vehicle,363000,53,Not_Eligible,4356
38,Male,Married,Graduate,37400,Self-employed,8,Startup,Rented,13100,3,0,0,3700,8000,4800,No,0,651,248500,105000,Personal Loan,168000,15,Not_Eligible,3861
32,Female,Married,Graduate,70600,Private,0,Startup,Own,0,3,0,0,4600,10700,6600,No,0,806,81700,39700,Personal Loan,76000,33,Eligible,18700
48,Female,Married,Graduate,44500,Government,0,Small,Own,0,2,12500,0,3600,10100,5200,Yes,8300,603,259100,148700,Education,328000,40,Not_Eligible,1344
32,Female,Married,High School,36100,Private,0,Startup,Rented,11700,4,7700,0,4400,5700,6100,Yes,8600,616,255900,151900,E-commerce Shopping,112000,22,Not_Eligible,500
38,Male,Married,Graduate,83200,Private,1,Startup,Own,0,4,5600,17600,10400,18000,7900,No,0,750,208300,103800,Home Appliances,260000,33,Eligible,14220
38,Male,Married,Graduate,64200,Private,1,Large Indian,Own,0,2,0,0,7800,11900,9400,Yes,10200,595,402700,125600,Education,185000,37,Eligible,7669
38,Male,Married,Graduate,38600,Private,5,Large Indian,Rented,9600,3,7500,0,4300,10600,3200,Yes,10300,781,196300,52900,E-commerce Shopping,50000,4,Not_Eligible,500
32,Female,Married,Graduate,50300,Private,4,Large Indian,Own,0,3,0,0,5000,10200,8600,No,0,677,85900,51300,Education,315000,29,Not_Eligible,10600
38,Female,Married,Post Graduate,45200,Government,2,Mid-size,Own,0,5,7000,0,2800,9000,5000,No,0,688,242600,142400,Home Appliances,80000,21,Eligible,10700
32,Male,Married,Professional,84200,Private,1,Startup,Own,0,3,2700,0,7200,23500,5700,No,0,678,409800,134900,Vehicle,555000,28,Eligible,22550
27,Male,Single,Graduate,57500,Private,3,Startup,Own,0,2,9200,0,6100,13000,10200,No,0,507,252000,120900,Home Appliances,102000,19,Not_Eligible,4750
58,Male,Married,High School,21900,Private,9,Large Indian,Own,0,5,0,0,1100,4900,2000,No,0,827,116500,69100,Education,415000,22,Not_Eligible,8340
48,Female,Married,Post Graduate,96000,Government,2,Mid-size,Own,0,3,0,0,9500,24900,12600,No,0,811,250900,132200,Home Appliances,133000,17,Eligible,29400
38,Female,Married,Post Graduate,44500,Private,6,Large Indian,Rented,7600,4,2400,0,3700,7500,5500,No,0,741,353200,172100,E-commerce Shopping,72000,19,Eligible,9790
27,Female,Married,Post Graduate,78600,Private,3,Mid-size,Rented,12100,4,12500,0,11400,16800,15000,No,0,710,300100,98200,Personal Loan,142000,16,Not_Eligible,5400
38,Male,Married,Graduate,37000,Government,4,Startup,Rented,11800,4,0,9600,4500,7700,4700,No,0,708,283600,97400,Education,175000,16,Not_Eligible,500
27,Male,Single,Professional,62900,Government,1,Startup,Own,0,1,0,0,5000,10100,10200,Yes,17600,779,327300,150600,Education,168000,31,Eligible,8400
27,Male,Single,Graduate,15000,Private,2,Startup,Rented,4300,1,0,0,900,4500,2900,No,0,732,43100,25600,Personal Loan,981000,44,Not_Eligible,1200
38,Male,Married,Post Graduate,83100,Private,8,Mid-size,Own,0,3,0,0,5800,18500,9700,No,0,850,73400,33300,Home Appliances,67000,14,Eligible,23568
27,Male,Single,Graduate,38900,Government,0,Large Indian,Own,0,1,0,0,2100,6400,5400,Yes,4800,672,82400,41800,Vehicle,518000,45,Not_Eligible,7070
27,Female,Single,Professional,53900,Government,0,MNC,Rented,12800,3,0,0,6800,8600,10800,Yes,7800,828,86800,40900,Vehicle,898000,50,Not_Eligible,2385
32,Male,Married,High School,29300,Private,4,Mid-size,Rented,7600,5,13700,0,2600,5300,3700,No,0,735,0,50000,Home Appliances,69000,26,Not_Eligible,500
48,Male,Married,Graduate,39800,Private,7,MNC,Rented,13900,3,0,10300,3000,10700,3300,No,0,755,113600,58500,Education,55000,42,Not_Eligible,500
48,Female,Married,Graduate,59700,Government,0,Large Indian,Own,0,4,0,0,6200,11000,3400,No,0,758,332700,137300,E-commerce Shopping,121000,18,Eligible,23460
58,Female,Single,Graduate,63800,Private,21,Mid-size,Rented,12500,3,11200,0,3200,10900,6000,Yes,12500,617,223700,84600,E-commerce Shopping,11000,20,Eligible,2100
48,Male,Married,Post Graduate,45900,Self-employed,2,Mid-size,Own,0,4,0,15500,3300,7800,4700,No,0,721,179400,91500,Home Appliances,151000,30,Eligible,6570
48,Male,Married,Professional,67600,Government,8,Large Indian,Own,0,4,0,0,9700,13100,8100,Yes,11900,819,280800,85000,E-commerce Shopping,175000,6,Not_Eligible,11457
48,Male,Married,Post Graduate,57800,Private,3,Small,Own,0,4,11000,0,3300,16800,6200,Yes,5800,688,100600,24600,Personal Loan,991000,46,Not_Eligible,4116
27,Male,Single,Graduate,38900,Private,4,Large Indian,Own,0,1,0,0,4300,11500,2400,No,0,689,301200,170100,Education,118000,44,Eligible,11385
27,Female,Married,Graduate,52600,Private,4,MNC,Own,0,2,13900,0,2700,9100,3300,No,0,726,145200,67400,Education,87000,18,Eligible,11800
38,Male,Single,Graduate,52300,Government,13,MNC,Rented,12400,2,0,12500,3300,12600,9900,No,0,715,79100,19500,Personal Loan,707000,55,Not_Eligible,704
32,Male,Single,Graduate,32800,Private,6,Large Indian,Own,0,1,0,0,2400,7000,4400,No,0,722,199100,87300,Home Appliances,211000,25,Eligible,10450
38,Male,Married,High School,79000,Private,1,Large Indian,Own,0,2,3000,0,6400,18800,13600,No,0,741,523500,220400,Home Appliances,98000,24,Eligible,20460
38,Male,Married,Post Graduate,27500,Private,12,Small,Rented,5400,4,0,0,2100,5300,5400,Yes,7500,724,58800,29800,Home Appliances,166000,18,Not_Eligible,630
32,Female,Married,Professional,66000,Private,4,MNC,Own,0,5,0,0,3600,12000,8000,Yes,13800,713,162300,47900,E-commerce Shopping,45000,7,Eligible,10010
48,Male,Married,High School,52100,Private,9,Startup,Rented,8300,3,14100,0,5900,11600,3700,Yes,13500,695,85700,22400,Education,261000,16,Not_Eligible,500
38,Male,Married,Graduate,15000,Private,3,Mid-size,Own,0,3,12600,19900,800,3000,1900,No,0,622,91200,42600,Vehicle,686000,82,Not_Eligible,500
38,Female,Married,High School,75500,Private,2,MNC,Rented,24700,4,0,0,8700,14200,4400,No,0,837,547500,200800,Home Appliances,245000,34,Eligible,15510
32,Female,Married,Post Graduate,107700,Private,0,Startup,Own,0,2,8600,0,10100,22900,6300,No,0,641,470600,122900,E-commerce Shopping,30000,11,Eligible,19136
58,Male,Married,Post Graduate,54500,Private,18,Mid-size,Rented,13700,2,0,0,5500,9500,4600,No,0,830,305400,84700,Personal Loan,105000,19,Eligible,12720
38,Male,Married,Graduate,45200,Private,3,Large Indian,Own,0,3,0,0,5900,10700,6000,No,0,696,338900,106500,E-commerce Shopping,68000,8,Eligible,12430
58,Male,Married,Post Graduate,80400,Private,4,Startup,Rented,19100,3,10800,0,5000,14100,13700,No,0,658,179300,69700,Personal Loan,974000,31,Not_Eligible,8850
32,Female,Married,Graduate,67300,Private,6,MNC,Rented,15700,4,0,19900,5500,19200,6200,No,0,721,116800,68100,E-commerce Shopping,11000,13,Not_Eligible,500
27,Male,Married,Professional,82100,Private,1,MNC,Own,0,4,4200,14300,4800,15600,5800,No,0,780,165600,62600,Vehicle,770000,81,Eligible,22440
38,Female,Married,Post Graduate,65700,Government,3,Startup,Own,0,4,3300,21600,4100,16500,6200,Yes,13700,748,293100,154600,E-commerce Shopping,59000,12,Not_Eligible,500
32,Female,Married,Post Graduate,49300,Private,1,Startup,Rented,11900,2,14300,0,7000,8900,9200,Yes,11300,744,116700,67400,E-commerce Shopping,137000,15,Not_Eligible,500
48,Male,Single,Graduate,57000,Private,9,Large Indian,Own,0,2,0,0,8300,10000,7900,No,0,725,34000,16700,E-commerce Shopping,28000,19,Eligible,12320
27,Female,Married,High School,56200,Private,0,Large Indian,Rented,6411,5,0,0,4000,11500,4900,Yes,11700,676,123800,42600,Vehicle,127000,72,Eligible,6748
58,Female,Married,Post Graduate,34900,Private,17,MNC,Own,0,2,0,0,2100,9600,4400,No,0,689,29400,17300,Education,155000,24,Eligible,7520
38,Male,Married,Graduate,105700,Private,9,MNC,Rented,18200,4,4200,6200,12000,21300,13500,No,0,733,327600,93300,E-commerce Shopping,133000,12,Eligible,15150
48,Male,Married,Graduate,77200,Private,1,Large Indian,Own,0,2,9100,14700,11400,15500,10000,No,0,826,469900,181500,Home Appliances,194000,29,Eligible,10890
38,Male,Married,Graduate,39500,Government,0,MNC,Rented,7000,4,5500,19700,3300,8000,3600,No,0,711,28100,7400,Vehicle,608000,59,Not_Eligible,500
48,Male,Married,Graduate,55900,Private,4,Mid-size,Own,0,3,8500,15700,3600,9600,7300,No,0,556,187100,77700,E-commerce Shopping,60000,18,Eligible,4480
48,Male,Married,Graduate,33900,Private,2,MNC,Own,0,2,3900,0,4900,8500,2500,No,0,747,258400,110200,Home Appliances,121000,6,Not_Eligible,7755
32,Male,Single,Graduate,49800,Self-employed,2,Large Indian,Rented,15900,2,11300,0,7300,12200,8900,Yes,12400,682,369900,189500,Vehicle,496000,76,Not_Eligible,500
38,Male,Married,Professional,38900,Private,2,Small,Own,0,5,0,0,5100,10800,4500,No,0,709,112500,44900,Education,84000,42,Eligible,9250
48,Male,Married,Post Graduate,35500,Private,3,MNC,Own,0,2,0,0,3200,7700,2900,No,0,785,160300,89700,E-commerce Shopping,80000,14,Eligible,13020
27,Female,Single,Graduate,29400,Private,0,Mid-size,Rented,9200,3,10500,0,1600,8200,5400,No,0,768,47200,12700,E-commerce Shopping,10000,17,Not_Eligible,500
32,Female,Married,Graduate,90700,Private,1,MNC,Rented,17100,3,3500,0,11500,16800,11600,No,0,781,364100,102100,Personal Loan,355000,40,Eligible,18120
38,Female,Single,Graduate,64500,Self-employed,2,MNC,Rented,16600,2,8700,0,6000,10600,6400,No,0,710,212100,50300,E-commerce Shopping,96000,23,Eligible,7290
32,Male,Married,Graduate,50700,Private,1,Startup,Own,0,4,9600,0,2900,7700,3500,No,0,755,271800,106900,E-commerce Shopping,45000,6,Eligible,16200
38,Male,Married,Professional,64600,Self-employed,3,Startup,Own,0,3,7300,0,6500,16200,7800,No,0,651,368400,84900,Home Appliances,279000,30,Eligible,12060
32,Female,Married,Professional,63200,Government,0,Startup,Own,0,3,5800,0,8200,11800,5000,No,0,762,198500,64500,Home Appliances,285000,36,Eligible,19440
58,Male,Married,Graduate,46900,Private,26,MNC,Rented,15100,3,10700,0,3300,13600,2900,Yes,10900,713,258200,102500,E-commerce Shopping,76000,16,Not_Eligible,500
48,Male,Married,Post Graduate,46600,Private,24,Mid-size,Own,0,5,8300,0,3100,8000,5400,No,0,654,315500,179900,Education,401000,45,Eligible,11990
38,Female,Married,High School,37700,Government,2,Startup,Own,0,3,5200,0,5500,9700,7300,No,0,725,123100,31700,Home Appliances,79000,23,Eligible,5000
58,Female,Married,Graduate,68900,Private,22,MNC,Own,0,3,0,0,5800,14000,6400,No,0,788,319600,153100,Personal Loan,572000,47,Eligible,25620
38,Male,Married,Post Graduate,92100,Private,1,MNC,Own,0,3,0,0,7100,21300,12400,No,0,764,531800,208900,Vehicle,903000,80,Eligible,30780
58,Male,Married,Graduate,52400,Government,5,Large Indian,Own,0,4,10800,9400,6100,12700,3200,No,0,840,384500,100800,E-commerce Shopping,135000,22,Eligible,7405
38,Male,Married,Professional,81100,Private,7,Large Indian,Own,0,3,6300,0,10300,20200,12000,No,0,832,517000,197400,Home Appliances,189000,12,Eligible,21318
32,Female,Married,Professional,99700,Private,2,Startup,Own,0,3,2000,0,5400,21300,19600,No,0,617,0,65600,Vehicle,147000,65,Eligible,20560
32,Female,Single,Post Graduate,56000,Self-employed,10,Mid-size,Own,0,2,7300,0,5500,14000,11100,No,0,701,323100,68000,E-commerce Shopping,93000,24,Eligible,8145
48,Female,Married,Graduate,46800,Private,14,Large Indian,Own,0,4,12100,0,5900,12400,3300,Yes,13700,711,256800,66300,Vehicle,565000,27,Not_Eligible,500
27,Female,Single,Graduate,80300,Private,1,Mid-size,Own,0,3,6500,22100,5200,14700,6400,Yes,16400,625,114000,59200,E-commerce Shopping,11000,12,Eligible,2016
48,Female,Married,High School,21900,Private,0,Large Indian,Rented,6000,3,7000,6200,2900,5900,2400,Yes,2600,636,135700,28400,E-commerce Shopping,73000,16,Not_Eligible,500
38,Female,Married,Professional,85800,Self-employed,0,Startup,Rented,9404,2,0,0,9500,23300,13900,No,0,661,461000,212600,Personal Loan,124000,44,Eligible,17595
32,Female,Single,High School,22900,Private,3,Large Indian,Own,0,3,0,0,3100,3600,3500,No,0,760,104300,53700,Vehicle,82000,46,Eligible,7620
38,Male,Married,Graduate,6486,Government,0,Large Indian,Rented,11000,4,0,22500,2300,9200,5300,No,0,713,195300,111300,Vehicle,870000,74,Not_Eligible,500
38,Female,Married,High School,45200,Government,4,Startup,Rented,12100,2,0,0,5300,11400,7500,No,0,799,235500,50400,E-commerce Shopping,59000,24,Eligible,5874
32,Male,Single,High School,25100,Private,3,Startup,Rented,5800,2,0,0,1400,6000,1300,Yes,4600,651,122100,31100,Home Appliances,241000,26,Not_Eligible,2100
32,Male,Single,Graduate,52000,Private,5,Startup,Own,0,3,0,11900,6600,7900,6900,No,0,715,354500,189000,Vehicle,255000,69,Eligible,10285
27,Male,Single,Graduate,51500,Private,4,MNC,Own,0,3,5400,0,3000,11500,9100,No,0,599,92900,39400,Personal Loan,829000,45,Not_Eligible,7200
38,Male,Married,High School,18800,Government,3,Large Indian,Own,0,3,6400,10300,1900,4000,3500,No,0,632,25300,14700,Home Appliances,221000,11,Not_Eligible,500
58,Female,Married,Graduate,57700,Private,14,Small,Rented,14100,3,0,0,4300,11800,4400,No,0,674,190600,99700,Education,243000,13,Not_Eligible,11550
48,Female,Married,Professional,103700,Private,2,Large Indian,Rented,16100,2,0,0,6700,16800,7500,Yes,15500,681,574100,157600,Education,127000,43,Eligible,14385
38,Female,Married,Graduate,32300,Private,12,Small,Own,0,3,8100,0,4200,5600,5200,No,0,720,87200,27800,Education,449000,16,Not_Eligible,4600
38,Male,Married,Graduate,10693,Private,6,Small,Own,0,3,0,15600,4400,11400,5600,No,0,676,300600,137200,E-commerce Shopping,140000,21,Not_Eligible,2310
32,Female,Married,Graduate,26400,Private,0,Mid-size,Own,0,2,0,0,2400,7300,1800,No,0,710,182800,67100,E-commerce Shopping,42000,19,Eligible,6556
38,Female,Married,Graduate,78800,Private,9,MNC,Own,0,4,0,13500,11500,17400,8700,No,0,793,417400,87200,Personal Loan,234000,18,Eligible,16620
58,Female,Married,Professional,110300,Private,3,MNC,Own,0,3,0,0,10900,21700,7900,No,0,685,266200,98200,Home Appliances,245000,23,Eligible,34900
27,Male,Single,Post Graduate,31800,Private,4,Mid-size,Own,0,1,0,0,4000,6800,2100,No,0,652,192300,107900,Personal Loan,347000,15,Not_Eligible,10395
27,Male,Single,Graduate,55700,Private,1,Small,Own,0,1,0,0,4500,13200,4700,No,0,782,386000,90500,Home Appliances,141000,30,Eligible,21978
48,Male,Married,Graduate,90900,Private,21,MNC,Own,0,3,0,0,11000,18800,6600,Yes,14200,680,167500,84200,Personal Loan,682000,13,Not_Eligible,11284
27,Male,Single,Post Graduate,105000,Private,0,MNC,Own,0,2,4500,0,7100,17000,6100,Yes,15800,690,126800,31800,Vehicle,411000,69,Eligible,12208
32,Female,Single,Graduate,56700,Self-employed,5,Large Indian,Own,0,1,0,0,6900,11400,8300,No,0,797,390900,196600,Home Appliances,261000,28,Eligible,17879
58,Male,Married,Post Graduate,79900,Private,10,Mid-size,Rented,17900,2,0,10700,5100,17600,8300,No,0,762,194200,62700,Home Appliances,141000,14,Eligible,12180
32,Male,Married,High School,33600,Private,2,Small,Own,0,3,6700,0,4800,6400,5900,No,0,706,62600,24900,Personal Loan,177000,22,Not_Eligible,3920
38,Male,Single,Graduate,72700,Government,4,MNC,Rented,11800,2,10600,0,5800,11200,11400,Yes,12300,772,52500,26900,E-commerce Shopping,58000,21,Eligible,3548
58,Male,Married,High School,27400,Government,3,MNC,Own,0,3,8400,0,2900,6500,3800,No,0,822,42300,17000,Education,481000,17,Not_Eligible,3062
48,Male,Married,Graduate,52500,Private,3,Large Indian,Own,0,4,0,0,3400,9200,5400,No,0,707,307900,114700,E-commerce Shopping,56000,19,Eligible,17250
48,Male,Married,Post Graduate,89300,Private,5,Startup,Own,0,4,5700,0,10900,20300,15200,No,0,785,218100,65000,Home Appliances,80000,20,Eligible,22320
27,Female,Married,Professional,81000,Government,2,Large Indian,Own,0,2,15000,0,4800,21800,13300,No,0,728,505200,234900,E-commerce Shopping,65000,18,Eligible,14355
38,Male,Married,Post Graduate,85100,Private,3,Mid-size,Rented,24100,3,14800,0,9300,21800,13400,Yes,19200,688,515700,189900,E-commerce Shopping,112000,17,Not_Eligible,500
48,Male,Single,Graduate,52100,Private,1,Small,Rented,16000,2,0,0,6200,11600,3400,Yes,12100,700,127900,59100,Home Appliances,147000,34,Not_Eligible,980
48,Female,Married,Graduate,53900,Private,5,MNC,Own,0,2,11400,0,6400,9300,3800,No,0,716,274400,117400,Personal Loan,146000,55,Eligible,11500
58,Male,Married,Graduate,25100,Private,16,Mid-size,Own,0,3,10800,0,1300,3900,4900,No,0,659,62100,26800,E-commerce Shopping,116000,12,Not_Eligible,2100
27,Female,Single,Post Graduate,93400,Private,5,MNC,Own,0,2,0,0,12500,21600,14200,No,0,773,258200,77600,Home Appliances,70000,14,Eligible,27060
32,Female,Single,Post Graduate,23400,Private,1,MNC,Rented,7800,3,12800,0,2700,6500,3500,Yes,3700,632,154700,84900,Education,395000,33,Not_Eligible,500
38,Male,Married,Graduate,51500,Government,11,MNC,Own,0,2,0,0,3000,13100,6300,No,0,827,270500,69200,Personal Loan,550000,53,Eligible,19206
38,Male,Married,Post Graduate,54000,Private,1,Large Indian,Own,0,3,0,0,3600,11900,3200,No,0,693,43900,22900,Vehicle,353000,46,Eligible,14120
