age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
38,Female,Married,Graduate,38900,Private,3,Large Indian,Own,0,4,0,0,5800,8300,4000.0,No,0,636,54000,17500,Education,143000,34,Eligible,6656
48,Male,Married,Graduate,68600,Private,6,Small,Own,0,4,7700,0,8200,12600,5100.0,No,0,712,37600,8700,E-commerce Shopping,80000,11,Eligible,14000
48,Male,Married,Graduate,93200,Private,20,Mid-size,Own,0,4,0,0,5600,27600,8000.0,No,0,722,148700,83500,Vehicle,121000,34,Eligible,20800
27,Male,Single,Professional,166700,Self-employed,2,Startup,Own,0,3,0,0,16600,29000,29100.0,No,0,654,809600,414500,E-commerce Shopping,184000,11,Eligible,41400
32,Male,Single,Post Graduate,77900,Private,7,Large Indian,Own,0,2,6200,0,9000,12100,7600.0,No,0,698,160200,92300,Home Appliances,171000,36,Eligible,21500
32,Female,Single,Post Graduate,39700,Private,1,Mid-size,Own,0,1,0,0,3700,7100,7600.0,No,0,637,282400,139100,Home Appliances,182000,33,Eligible,9372
38,Male,Married,Post Graduate,106500,Government,6,Mid-size,Own,0,4,4200,24600,5500,18300,17200.0,No,0,715,841800,336000,E-commerce Shopping,179000,14,Eligible,22203
32,Male,Single,Graduate,51000,Private,2,Startup,Rented,17500,2,0,0,4000,10800,4600.0,No,0,713,195900,40900,Education,169000,42,Eligible,7050
58,Male,Married,Post Graduate,96800,Private,11,Mid-size,Own,0,3,2100,0,12100,25400,14000.0,No,0,644,531200,314900,Personal Loan,178000,17,Eligible,17280
58,Male,Married,Graduate,48300,Private,36,Mid-size,Own,0,3,0,0,4200,14000,8300.0,No,0,736,250600,70600,Home Appliances,149000,33,Eligible,10900
38,Female,Married,Graduate,84500,Private,0,Large Indian,Own,0,2,13100,0,5300,20100,6900.0,No,0,675,411500,94400,E-commerce Shopping,162000,17,Eligible,15640
32,Male,Single,Post Graduate,32500,Private,8,Mid-size,Own,0,1,0,0,3800,7000,2800.0,No,0,690,68700,27700,Education,331000,48,Eligible,9450
32,Male,Married,Post Graduate,44100,Private,2,Large Indian,Own,0,3,7500,0,6200,11900,4500.0,No,0,711,282600,164800,E-commerce Shopping,68000,14,Eligible,7700
58,Male,Married,Post Graduate,101400,Private,22,Startup,Rented,23400,3,8000,0,6900,18000,6700.0,No,0,741,748700,260100,E-commerce Shopping,22000,3,Eligible,21120
32,Female,Married,Post Graduate,69300,Private,3,MNC,Own,0,4,2900,0,6000,14900,10600.0,No,0,683,118900,58100,Home Appliances,80000,8,Eligible,13960
32,Male,Married,High School,5644,Private,5,Large Indian,Own,6982,4,14700,19600,4400,21200,4600.0,No,0,676,292800,92400,Education,160000,30,Eligible,6800
58,Male,Married,Professional,72800,Private,13,MNC,Rented,12200,3,0,0,6400,12000,8600.0,No,0,722,347200,79300,Home Appliances,34000,23,Eligible,16800
32,Female,Single,Post Graduate,56000,Self-employed,10,Mid-size,Own,0,2,7300,0,5500,14000,11100.0,No,0,701,323100,68000,E-commerce Shopping,93000,24,Eligible,8145
58,Male,Married,Professional,43900,Private,4,Mid-size,Own,0,3,8700,0,6600,7500,6800.0,No,0,714,300100,75500,Home Appliances,29000,29,Eligible,7865
32,Female,Single,Professional,66800,Private,0,Mid-size,Own,0,2,0,0,7700,11400,7300.0,Yes,8400,707,150800,73100,E-commerce Shopping,99000,19,Eligible,8960
27,Female,Single,Professional,53000,Self-employed,0,Startup,Own,0,2,0,0,3800,10200,7200.0,Yes,10200,662,204000,66100,E-commerce Shopping,75000,16,Eligible,6804
32,Female,Married,Post Graduate,37300,Self-employed,3,Small,Own,0,4,0,0,2900,7500,3400.0,No,0,587,39400,23100,Vehicle,124000,39,Eligible,6768
27,Male,Single,Post Graduate,75800,Private,1,Startup,Own,0,2,10500,0,6300,18600,12800.0,No,0,688,373300,217500,Home Appliances,75000,14,Eligible,13800
38,Male,Married,Graduate,94800,Government,4,Large Indian,Own,0,3,0,0,5700,16800,15700.0,No,0,748,499700,292500,Education,345000,34,Eligible,31130
32,Male,Married,Post Graduate,74500,Government,0,Large Indian,Own,0,2,14200,0,9300,14400,13000.0,No,0,738,474700,104000,Home Appliances,42000,9,Eligible,12980
27,Male,Single,Graduate,67600,Private,1,Large Indian,Own,0,2,0,0,8700,13800,5000.0,Yes,12000,680,531200,255000,Home Appliances,130000,35,Eligible,10818
32,Female,Single,Professional,78700,Private,1,MNC,Own,0,1,0,0,6400,16000,10300.0,Yes,13100,714,111400,28700,Home Appliances,57000,33,Eligible,9212
48,Female,Single,Post Graduate,47000,Private,11,Large Indian,Own,0,1,0,0,4600,7500,6600.0,No,0,688,142800,29700,Education,265000,32,Eligible,14150
38,Male,Married,High School,57100,Private,1,MNC,Own,0,5,0,0,5700,12600,4200.0,No,0,668,448800,232000,Personal Loan,665000,59,Eligible,19030
32,Male,Married,Graduate,43300,Private,2,MNC,Own,0,5,0,14300,5100,11600,2700.0,No,0,621,210200,54600,Home Appliances,50000,35,Eligible,3840
27,Female,Single,Graduate,83100,Self-employed,3,MNC,Rented,19200,1,0,0,9900,20400,4600.0,No,0,695,526500,219400,Personal Loan,70000,59,Eligible,14355
48,Male,Married,Graduate,98600,Private,9,MNC,Rented,22500,2,4600,0,8600,21200,8800.0,Yes,15900,664,603300,356100,Vehicle,149000,56,Eligible,6545
27,Male,Single,Graduate,31400,Private,1,Large Indian,Rented,5900,1,0,0,2700,5300,1900.0,No,0,686,95000,19900,Personal Loan,185000,43,Eligible,7800
58,Male,Married,Graduate,79400,Private,2,Large Indian,Own,0,4,12800,7100,5300,19600,8100.0,No,0,674,214600,118600,Education,214000,34,Eligible,13250
48,Male,Married,Professional,69000,Private,0,Mid-size,Rented,14700,3,4400,7400,7100,18600,5200.0,No,0,704,321800,107000,Education,147000,41,Eligible,4640
38,Female,Married,Post Graduate,46600,Private,7,Large Indian,Own,0,4,0,8300,3900,13300,4000.0,No,0,729,250400,96400,Education,175000,37,Eligible,8550
27,Female,Married,Graduate,54700,Self-employed,1,Large Indian,Own,0,2,3400,0,4400,11800,8400.0,No,0,634,410000,244200,Home Appliances,183000,29,Eligible,10573
32,Male,Single,Professional,125800,Private,0,MNC,Rented,25300,3,0,0,16400,34600,16200.0,No,0,733,316900,81900,E-commerce Shopping,46000,18,Eligible,13320
27,Female,Single,Post Graduate,65900,Private,3,Large Indian,Own,0,1,0,0,9400,14400,10000.0,No,0,676,103100,56100,Personal Loan,199000,31,Eligible,12840
27,Female,Married,Graduate,49800,Private,0,Large Indian,Own,0,2,0,11600,2900,8300,6100.0,No,0,665,196900,92100,E-commerce Shopping,85000,11,Eligible,8360
38,Female,Married,Graduate,127900,Private,3,MNC,Own,0,5,0,0,13500,20900,14000.0,No,0,745,206600,106400,E-commerce Shopping,146000,21,Eligible,31800
38,Female,Single,High School,27000,Private,16,Startup,Own,0,2,3600,0,2700,5800,4100.0,No,0,730,188300,110400,Home Appliances,73000,35,Eligible,5940
27,Male,Single,Post Graduate,100000,Private,0,Large Indian,Own,0,3,14600,0,8500,21100,18400.0,No,0,670,286600,115200,Home Appliances,193000,14,Eligible,14960
38,Male,Married,Post Graduate,149300,Private,4,Small,Own,0,3,0,0,8200,42700,17600.0,Yes,18500,630,646000,161100,Home Appliances,89000,35,Eligible,17444
32,Male,Single,Graduate,60200,Private,1,Mid-size,Own,0,2,0,0,6200,12900,8800.0,Yes,6200,550,264300,108700,Vehicle,151000,80,Eligible,7308
32,Female,Married,Graduate,60400,Private,1,MNC,Own,0,3,11000,0,6200,12300,9700.0,No,0,664,398200,110100,E-commerce Shopping,116000,21,Eligible,11660
38,Male,Single,Graduate,66200,Self-employed,8,Large Indian,Own,0,2,4200,0,7800,13500,6000.0,Yes,9200,661,117000,48500,Education,66000,13,Eligible,6426
38,Male,Married,Professional,90300,Private,5,Mid-size,Own,0,5,0,0,5100,18000,9600.0,No,0,654,333300,183500,E-commerce Shopping,94000,19,Eligible,28800
27,Male,Married,Post Graduate,153000,Private,5,Small,Own,0,3,0,0,20300,34900,17900.0,Yes,15900,664,1060300,246200,E-commerce Shopping,30000,20,Eligible,24640
48,Female,Married,Graduate,31100,Government,1,Mid-size,Own,0,5,0,0,1900,6100,4700.0,No,0,612,104300,57400,Education,118000,25,Eligible,7360
32,Female,Married,High School,417837,Government,4,MNC,Own,0,4,3200,0,8700,17100,13800.0,Yes,10300,642,225500,58900,E-commerce Shopping,56000,22,Eligible,5143
27,Male,Married,Professional,84400,Self-employed,1,MNC,Own,0,3,0,11000,7000,22200,10100.0,No,0,689,210500,90700,Education,173000,38,Eligible,15345
32,Male,Single,Post Graduate,85200,Self-employed,3,Large Indian,Own,0,2,12400,0,6900,15100,13500.0,No,0,660,449100,105800,Education,317000,24,Eligible,16785
27,Male,Single,Professional,31000,Government,2,MNC,Own,0,1,0,0,2700,5500,1800.0,No,0,693,91700,30900,E-commerce Shopping,74000,16,Eligible,10500
32,Male,Married,Graduate,70200,Private,6,Startup,Own,0,3,9200,0,10500,10800,7300.0,No,0,732,372500,188900,Education,303000,41,Eligible,16200
32,Male,Married,Graduate,65700,Private,2,Mid-size,Own,0,4,0,0,8000,13200,8900.0,No,0,717,302800,86800,Home Appliances,215000,20,Eligible,17800
48,Male,Married,Post Graduate,74400,Private,6,Startup,Rented,16700,2,5400,0,5700,12900,12800.0,No,0,703,175700,63400,Vehicle,332000,77,Eligible,10450
32,Male,Single,Post Graduate,107400,Private,2,MNC,Own,0,3,10400,0,5600,19200,6400.0,Yes,10900,610,293700,94200,Education,59000,32,Eligible,15372
38,Male,Single,High School,61700,Private,0,MNC,Own,0,2,0,0,5000,14500,4900.0,No,0,651,428700,147800,Home Appliances,274000,23,Eligible,16412
48,Female,Married,High School,48600,Private,13,Startup,Own,0,5,11200,0,5100,7800,5800.0,No,0,729,330000,150200,Home Appliances,184000,32,Eligible,10285
38,Female,Married,Graduate,55700,Private,7,Large Indian,Own,0,3,7000,9100,2800,13600,3400.0,No,0,665,101700,38000,E-commerce Shopping,100000,15,Eligible,7920
38,Male,Married,Professional,70900,Private,4,Mid-size,Own,0,3,6800,0,6000,12600,13000.0,No,0,700,337500,84800,Vehicle,359000,68,Eligible,16250
32,Male,Married,Graduate,66300,Private,2,Mid-size,Rented,14700,4,0,0,6400,10700,9100.0,No,0,678,464400,273100,Personal Loan,175000,58,Eligible,13970
38,Female,Married,Graduate,93900,Private,4,Large Indian,Own,0,3,0,0,10300,27000,9600.0,No,0,742,404900,193700,Home Appliances,188000,20,Eligible,23500
32,Male,Single,High School,38300,Government,1,Mid-size,Own,0,3,12100,0,3900,7600,3100.0,Yes,5100,672,123900,26100,E-commerce Shopping,31000,20,Eligible,2275
27,Male,Single,Graduate,115000,Private,2,MNC,Own,0,2,0,0,14300,20100,13800.0,Yes,17600,671,105200,40800,Personal Loan,339000,41,Eligible,13776
32,Female,Married,Professional,74100,Government,0,Large Indian,Own,0,3,2300,0,5600,11600,7000.0,No,0,581,563000,164300,Personal Loan,284000,28,Eligible,20944
48,Female,Married,Post Graduate,81200,Private,6,Large Indian,Own,0,3,0,14500,8600,12600,7000.0,Yes,16300,726,212300,116200,Education,129000,36,Eligible,7770
38,Male,Married,Professional,128100,Private,10,Startup,Own,0,4,0,0,17300,25400,24800.0,Yes,14500,697,746900,393900,E-commerce Shopping,116000,18,Eligible,16135
32,Male,Single,Graduate,36300,Private,1,Large Indian,Own,0,2,3600,0,2000,10700,2500.0,No,0,684,214500,106300,Education,131000,38,Eligible,8750
58,Female,Single,Graduate,32300,Private,4,MNC,Own,0,1,0,0,3000,9100,2100.0,Yes,8600,684,121400,55500,E-commerce Shopping,46000,21,Eligible,3325
38,Male,Married,Professional,170800,Government,1,Large Indian,Own,0,4,0,8100,23300,31500,27800.0,Yes,24300,692,429000,132900,Education,434000,28,Eligible,19530
27,Male,Single,Graduate,69400,Private,1,MNC,Own,0,1,0,0,7200,15400,7100.0,No,0,730,195000,113200,Personal Loan,519000,60,Eligible,19850
38,Female,Married,High School,33200,Private,9,Mid-size,Own,0,2,2100,0,4000,6100,2700.0,No,0,603,135800,73100,Education,149000,36,Eligible,7320
38,Male,Married,Graduate,52800,Private,0,Mid-size,Own,0,2,0,0,6200,11400,6300.0,Yes,9100,671,286900,90600,Education,83000,39,Eligible,5544
27,Male,Single,Graduate,104700,Private,5,MNC,Own,0,1,0,0,14800,20200,9100.0,Yes,11800,626,77500,19400,Education,172000,30,Eligible,10931
32,Male,Single,Post Graduate,98500,Private,1,Mid-size,Rented,15200,2,0,0,10100,18900,8000.0,No,0,715,497600,211700,Education,159000,27,Eligible,23150
32,Male,Married,Graduate,48300,Private,5,Large Indian,Own,0,3,14800,0,7000,7300,3100.0,No,0,681,60300,35100,Education,162000,30,Eligible,6440
48,Male,Single,Graduate,28100,Government,5,Mid-size,Own,0,1,0,0,3000,4600,3900.0,No,0,742,186700,56000,E-commerce Shopping,86000,18,Eligible,10043
58,Male,Married,Graduate,69900,Private,3,Startup,Own,0,3,8600,0,8800,16100,4700.0,No,0,678,62600,29000,Vehicle,163000,77,Eligible,12680
48,Male,Married,Graduate,115500,Private,20,Large Indian,Own,0,4,0,0,9700,29900,22500.0,No,0,728,348200,166500,Education,61000,43,Eligible,26700
32,Male,Single,Post Graduate,71400,Government,0,MNC,Own,0,1,0,0,6700,11000,6400.0,Yes,19700,737,166000,70200,E-commerce Shopping,17000,20,Eligible,9660
32,Male,Single,Professional,87500,Private,1,Large Indian,Rented,17200,2,5200,0,9300,21300,9200.0,Yes,9400,0,649800,141300,Home Appliances,96000,30,Eligible,4897
27,Male,Single,Professional,8040,Self-employed,1,Large Indian,Rented,24900,2,0,0,10100,26400,17600.0,Yes,29400,694,742800,236900,Personal Loan,61000,20,Eligible,8473
32,Male,Single,Post Graduate,82800,Private,2,Large Indian,Own,0,3,9700,7500,9800,22100,7900.0,No,0,612,392500,166700,E-commerce Shopping,176000,24,Eligible,10320
32,Female,Married,Graduate,95600,Government,3,MNC,Rented,23800,3,0,0,10200,24800,10600.0,Yes,12300,657,650200,202400,Home Appliances,28000,11,Eligible,5886
48,Male,Married,Professional,111600,Private,12,Small,Own,0,4,0,0,8200,28400,12500.0,No,0,739,307200,108000,Education,346000,39,Eligible,31250
48,Female,Married,High School,60600,Private,3,Small,Own,0,3,5800,0,7700,14800,5900.0,Yes,6500,610,272500,163200,E-commerce Shopping,24000,10,Eligible,5572
38,Female,Married,Graduate,93300,Government,2,Large Indian,Rented,14800,3,0,6600,9500,20400,6300.0,Yes,14000,731,74300,37600,Education,98000,30,Eligible,6076
38,Male,Married,Post Graduate,51400,Private,2,MNC,Own,0,4,10000,0,3200,14100,3000.0,No,0,589,225700,83700,Home Appliances,162000,31,Eligible,8440
38,Male,Married,Post Graduate,83900,Self-employed,3,MNC,Own,0,2,0,6100,8500,23200,6900.0,Yes,12600,688,266100,77100,Home Appliances,212000,34,Eligible,8379
32,Female,Married,Graduate,26300,Private,5,Mid-size,Own,0,5,0,5700,1300,6500,2000.0,No,0,709,179900,100900,Home Appliances,152000,30,Eligible,5940
48,Male,Single,Graduate,45600,Self-employed,17,Large Indian,Own,0,2,5200,0,6000,7000,3900.0,No,0,724,131600,59100,Vehicle,388000,76,Eligible,10575
27,Female,Married,Graduate,31200,Government,0,MNC,Own,0,3,0,5700,2300,6600,2500.0,No,0,660,76800,16200,E-commerce Shopping,88000,22,Eligible,7050
38,Male,Married,Professional,92600,Private,0,Mid-size,Own,0,4,4000,0,12900,23700,6500.0,No,0,664,623300,256500,Home Appliances,200000,26,Eligible,20020
58,Female,Married,Post Graduate,63400,Private,1,Large Indian,Own,0,2,0,13900,6700,10600,12500.0,No,0,717,266900,114600,E-commerce Shopping,14000,7,Eligible,9850
38,Male,Married,Graduate,63300,Private,1,Mid-size,Own,0,3,0,0,7600,15100,6300.0,No,0,647,172400,71100,Vehicle,116000,21,Eligible,13720
38,Male,Married,Graduate,66600,Government,2,Startup,Rented,20200,2,0,0,3900,16900,7200.0,No,0,699,143500,33900,Home Appliances,93000,15,Eligible,9200
32,Male,Married,Professional,110400,Private,5,MNC,Own,0,5,0,0,9200,31600,15800.0,No,0,686,684300,343900,Personal Loan,280000,51,Eligible,29590
32,Male,Married,Graduate,84500,Private,2,Mid-size,Rented,15000,2,9700,10500,7000,17400,9700.0,No,0,730,671700,328200,E-commerce Shopping,21000,18,Eligible,8360
38,Male,Married,Professional,98900,Private,3,Mid-size,Own,0,2,9000,17000,10700,19800,12400.0,No,0,745,782600,207800,Personal Loan,92000,48,Eligible,16500
32,Male,Married,Graduate,33700,Private,6,Large Indian,Own,0,3,0,0,4400,5800,2500.0,No,0,704,195400,95400,E-commerce Shopping,69000,23,Eligible,10500
48,Male,Married,Post Graduate,23400,Private,5,Large Indian,Own,0,4,0,0,1300,3900,3800.0,No,0,718,135400,76100,E-commerce Shopping,86000,20,Eligible,7200
38,Male,Married,Graduate,63400,Private,2,Mid-size,Own,0,4,0,0,8900,15700,6000.0,No,0,731,258800,113500,Home Appliances,154000,26,Eligible,16400
32,Male,Married,Professional,53500,Private,3,Large Indian,Own,0,3,7400,10000,4200,10900,9400.0,No,0,594,298700,117900,E-commerce Shopping,61000,22,Eligible,4640
32,Male,Single,Post Graduate,64900,Private,3,Startup,Own,0,1,0,0,7600,12100,8100.0,No,0,741,73200,40800,Education,59000,25,Eligible,14840
38,Female,Married,Graduate,47800,Private,9,MNC,Own,0,3,10300,0,4900,11500,5900.0,No,0,666,93200,23100,Personal Loan,74000,23,Eligible,6080
38,Male,Married,Post Graduate,69000,Private,4,Mid-size,Rented,14800,3,8400,0,6300,13600,11000.0,No,0,652,58000,16700,E-commerce Shopping,37000,21,Eligible,5960
58,Male,Married,Professional,93600,Self-employed,21,MNC,Rented,17300,4,0,0,9000,14500,12100.0,No,0,701,528800,311900,Education,401000,40,Eligible,18315
27,Female,Single,Graduate,61500,Private,0,Mid-size,Own,0,1,0,0,5900,11300,3700.0,Yes,13500,727,288400,63200,E-commerce Shopping,103000,16,Eligible,7588
48,Male,Married,Post Graduate,137600,Private,1,Mid-size,Own,0,2,11700,0,8800,31800,23200.0,No,0,704,531700,304800,E-commerce Shopping,184000,10,Eligible,31050
48,Female,Married,Graduate,104200,Private,0,Large Indian,Own,0,4,0,0,7400,18600,6800.0,No,0,648,535900,223800,E-commerce Shopping,79000,11,Eligible,22848
27,Male,Single,Professional,170500,Private,1,Large Indian,Rented,50600,2,4200,0,8800,30100,17800.0,Yes,34000,599,738900,305000,Home Appliances,126000,34,Eligible,7000
38,Female,Married,High School,12000,Private,0,Small,Own,0,5,0,0,1600,3300,2100.0,No,0,663,39300,18400,E-commerce Shopping,16000,20,Eligible,2000
48,Female,Single,Professional,83600,Government,1,MNC,Own,0,1,0,0,6400,18000,16500.0,No,0,646,566700,117800,Personal Loan,167000,19,Eligible,18788
27,Male,Single,Post Graduate,80300,Private,3,MNC,Rented,23900,1,0,0,10200,12900,5400.0,No,0,715,326900,108400,Education,382000,42,Eligible,13950
32,Female,Married,Graduate,68600,Private,1,Startup,Own,0,3,8100,0,6400,13000,8300.0,No,0,642,142100,79800,E-commerce Shopping,178000,19,Eligible,13120
48,Female,Married,Graduate,68300,Private,26,Mid-size,Own,0,3,2300,0,5600,15200,7300.0,No,0,693,303200,140200,Education,71000,40,Eligible,18950
38,Male,Married,High School,56600,Self-employed,0,Large Indian,Own,0,4,13400,0,7700,9500,5000.0,No,0,661,389700,122800,E-commerce Shopping,143000,21,Eligible,10395
27,Male,Married,Post Graduate,85500,Government,0,Small,Own,0,2,0,0,4800,14700,10800.0,No,0,744,283900,104800,E-commerce Shopping,41000,17,Eligible,27600
48,Male,Single,High School,38000,Private,8,Large Indian,Own,0,1,0,0,2400,7900,5800.0,No,0,689,87100,27200,E-commerce Shopping,46000,13,Eligible,10950
27,Female,Single,Graduate,113000,Private,1,Large Indian,Own,0,1,0,0,8400,17600,5800.0,No,0,679,631800,262600,Vehicle,895000,69,Eligible,40600
48,Male,Married,Professional,66200,Private,11,Large Indian,Rented,16700,4,0,0,9300,10100,10000.0,No,0,696,324100,103400,Home Appliances,48000,10,Eligible,10050
58,Male,Married,Graduate,39500,Private,12,Startup,Own,0,3,0,0,3000,6100,5400.0,No,0,747,253200,66100,Personal Loan,430000,59,Eligible,13750
38,Male,Married,Post Graduate,82800,Private,9,Mid-size,Rented,20100,3,6200,0,7100,22700,4500.0,No,0,706,444000,167600,Home Appliances,78000,28,Eligible,11100
27,Male,Single,Post Graduate,60000,Government,4,Mid-size,Rented,11400,1,0,0,3800,13000,9700.0,No,0,684,418500,145100,Vehicle,153000,81,Eligible,13370
32,Male,Single,Graduate,35900,Self-employed,5,Large Indian,Own,0,2,0,0,3200,9000,5300.0,No,0,696,128000,53600,Home Appliances,96000,22,Eligible,8280
48,Female,Married,Post Graduate,106600,Private,0,MNC,Own,0,3,14200,0,7900,21000,10000.0,No,0,669,102700,43900,Vehicle,389000,64,Eligible,17120
38,Female,Married,Professional,78800,Private,7,Mid-size,Own,0,2,8000,0,8600,16200,4000.0,Yes,21200,625,472300,179400,Home Appliances,60000,36,Eligible,5824
38,Male,Married,Professional,109200,Private,0,Startup,Rented,33700,4,0,0,7000,22800,11100.0,No,0,723,626800,298100,E-commerce Shopping,133000,16,Eligible,13840
58,Female,Married,High School,58000,Private,5,MNC,Rented,17500,3,0,0,3400,14200,4400.0,No,0,704,168200,92500,Personal Loan,63000,37,Eligible,9250
58,Male,Married,Graduate,26800,Private,32,Mid-size,Own,0,3,4300,0,2100,4900,2900.0,Yes,6100,689,68400,31500,Home Appliances,53000,31,Eligible,2275
48,Female,Married,Professional,39800,Government,4,Mid-size,Own,0,3,9300,0,3000,9100,6500.0,No,0,592,177400,100300,Home Appliances,24000,16,Eligible,5236
32,Male,Married,Post Graduate,63100,Private,1,Small,Own,0,2,0,0,5000,12400,6100.0,No,0,685,182100,96700,Vehicle,864000,84,Eligible,19800
38,Male,Married,Post Graduate,106700,Private,16,Large Indian,Rented,28300,4,2900,0,5400,17800,14400.0,No,0,719,291700,114500,Personal Loan,410000,46,Eligible,18950
48,Male,Single,High School,41900,Private,7,Mid-size,Own,0,1,0,0,2700,11600,6400.0,No,0,724,325400,161500,E-commerce Shopping,24000,17,Eligible,11660
27,Male,Single,Graduate,97800,Private,2,Startup,Own,0,1,0,0,11700,20200,5500.0,No,0,729,412700,241600,Vehicle,177000,28,Eligible,30200
27,Male,Single,Graduate,89100,Private,3,MNC,Own,0,2,0,0,8700,19700,7300.0,No,0,654,517000,190400,E-commerce Shopping,71000,5,Eligible,26700
38,Male,Married,Graduate,74200,Private,16,Small,Rented,13500,2,13000,0,7500,21000,3800.0,No,0,676,74900,18900,E-commerce Shopping,23000,9,Eligible,6160
48,Female,Married,Graduate,75200,Government,2,MNC,Rented,17700,2,0,0,7500,13700,15000.0,No,0,714,519600,141500,E-commerce Shopping,52000,5,Eligible,11715
38,Female,Married,High School,44100,Government,7,Mid-size,Own,0,4,0,0,5200,11400,2300.0,Yes,6000,721,51400,26500,Education,96000,37,Eligible,5913
32,Male,Single,Post Graduate,84000,Private,4,Large Indian,Own,0,1,0,0,10800,19900,16500.0,Yes,10500,665,495200,184800,E-commerce Shopping,55000,23,Eligible,9205
27,Male,Married,Post Graduate,104200,Private,1,Startup,Own,0,2,4400,0,14300,27800,16200.0,No,0,664,179600,37800,Education,329000,41,Eligible,16600
38,Female,Married,Graduate,9252,Private,0,Large Indian,Own,0,2,4900,11700,4400,12900,5400.0,No,0,661,261000,152400,Education,139000,33,Eligible,6680
32,Female,Married,Graduate,89600,Private,0,Mid-size,Own,0,4,6300,0,11500,26600,8200.0,No,0,691,65900,34100,Home Appliances,195000,24,Eligible,11840
32,Male,Married,Professional,58200,Private,4,MNC,Rented,16100,3,0,0,6800,11100,5700.0,No,0,690,37400,14300,E-commerce Shopping,28000,16,Eligible,7400
38,Male,Single,Graduate,59400,Private,11,Mid-size,Own,0,2,11100,0,4000,17400,10200.0,No,0,655,341300,76000,Home Appliances,152000,26,Eligible,8350
58,Female,Married,Graduate,39100,Government,4,Startup,Own,0,5,0,0,3800,11200,2700.0,No,0,677,181300,58800,Home Appliances,57000,23,Eligible,11770
38,Female,Married,Graduate,66700,Private,11,Startup,Own,0,2,2500,0,10000,18900,5000.0,No,0,650,203900,98300,Home Appliances,186000,20,Eligible,15150
32,Male,Married,High School,51700,Private,2,Large Indian,Own,0,4,12700,0,5200,7800,6000.0,Yes,7100,686,395100,126900,Education,87000,34,Eligible,4966
38,Male,Married,High School,28800,Private,14,Large Indian,Own,0,4,0,0,3800,6800,3800.0,No,0,689,128500,43700,E-commerce Shopping,29000,23,Eligible,7200
32,Male,Married,Graduate,25600,Private,5,Large Indian,Own,0,3,0,0,2200,6700,2400.0,No,0,725,26500,9500,Home Appliances,63000,18,Eligible,5720
